Depth,TOC,Carb
10575.1,0.0074,0.1345
10575.8,0.0095,0.5488
10576.7,0.0144,0.8321
10578.4,0.024,0.5125
10579,0.0089,0.8839
10580,0.0267,0.5775
10581,0.0067,0.8641
10582,0.0382,0.4344
10583,0.0278,0.5988
10584,0.0331,0.6537
10585,0.0273,0.6917
10586,0.0052,0.9115
10587,0.0055,0.9047
10587.8,0.012,0.9089
10589,0.0186,0.8388
10590,0.0099,0.9238
10591,0.0033,0.9553
10592,0.0295,0.803
10593,0.0068,0.917
10594,0.0092,0.9113
10595,0.0132,0.7963
10596,0.0065,0.8992
10597,0.0051,0.9243
10598,0.013,0.8247
10599,0.0057,0.9045
10600,0.0168,0.8051
10601,0.0037,0.9586
10602,0.0074,0.9117
10602.6,0.0123,0.8022
10603.35,0.0144,0.8901
10604.4,0.0049,0.9178
10606.1,0.0435,0.5735
10606.2,0.0394,0.646
10607.3,0.0308,0.6598
10608.3,0.0311,0.5239
10609.3,0.0044,0.9628
10610.3,0.0361,0.5652
10611.2,0.0356,0.8351
10611.21,0.0023,0.8856
10611.96,0.0019,0.9746
10612.9,0.0171,0.7579
10613.8,0.0076,0.8733
10614.79,0.008,0.9637
10616.1,0.0145,0.7959
10616.83,0.0123,0.8184
10618.1,0.0073,0.8194
10619.1,0.005,0.8107
10620.1,0.0065,0.9023
10620.8,0.0209,0.5078
10621.8,0.0065,0.8387
10622.8,0.0099,0.6846
10623.8,0.0024,0.9312
10624.8,0.0055,0.48
10626.67,0.0113,0.885
10628,0.0071,0.8454
10629,0.0046,0.8338
10630,0.0044,0.8254
10631,0.0103,0.9224
10632,0.0176,0.7788
10634,0.0218,0.7412
10635,0.0245,0.6989
10636.1,0.0278,0.664
10637.21,0.0063,0.7027
10638.3,0.0075,0.6476
10639.3,0.0059,0.4351
10640.3,0.0082,0.4258
10641.3,0.0079,0.6528
10642.3,0.004,0.3236
10644.45,0.0221,0.5385
10645.5,0.0173,0.0806
10646.5,0.0018,0.1958
10647.4,0.009,0.0454
10648.5,0.0052,0.0486
10649.4,0.0135,0.0982
10650.4,0.0182,0.0778
10651.5,0.0162,0.0597
10652.5,0.0059,0.0596
10654.1,0.0091,0.0504
10655,0.0043,0.0697
10656,0.005,0.0978
10657,0.0086,0.0947
10658.2,0.0036,0.114
10659.4,0.0033,0.1019
10575,0.02,0.58
10577.2,0.021,0.28
10579.3,0.021,0.75
10581.9,0.042,0.43
10587.2,0.013,0.33
10597.2,0.012,0.73
10605.4,0.018,0.87
10615.2,0.003,0.93
10625.2,0.007,0.54
10633.2,0.025,0.07
10643.2,0.019,0.01
10653.2,0.008,0.07
